90 52.0 0.0332840236686 351.078982199 1.0[[ 0.12405563]][[ 0.99999207]][[ 0.99999809]][[ 0.86324691]][[ 0.00048649]][[ 0.99998414]]
182 74.0 0.0332359386413 74.0074453339 1.0[[ 0.13956259]][[ 0.99998581]][[ 0.99999785]][[ 0.91818075]][[ 0.0005473]][[ 0.99997162]]
64 42.0 0.0362811791383 213.71394521 1.0[[ 0.1007952]][[ 0.9999941]][[ 0.99999845]][[ 0.84883643]][[ 0.00039528]][[ 0.9999882]]
107 62.0 0.0278355879292 126.027347744 1.0[[ 0.17057649]][[ 0.9999904]][[ 0.99999738]][[ 0.84172531]][[ 0.00066893]][[ 0.9999808]]
153 100.0 0.0153 179.744496231 1.13636363636[[ 0.25586474]][[ 0.99998587]][[ 0.99999607]][[ 0.83823333]][[ 0.00100339]][[ 0.99997174]]
49 52.0 0.0181213017751 107.467005125 1.0[[ 0.15506954]][[ 0.99999428]][[ 0.99999762]][[ 0.73684091]][[ 0.00060812]][[ 0.99998855]]
78 64.0 0.01904296875 329.943274487 1.14285714286[[ 0.13180911]][[ 0.99999237]][[ 0.99999797]][[ 0.84684583]][[ 0.0005169]][[ 0.99998474]]
98 48.0 0.0425347222222 155.815179536 1.0[[ 0.09304172]][[ 0.99999195]][[ 0.99999857]][[ 0.90243831]][[ 0.00036487]][[ 0.9999839]]
145 58.0 0.0431034482759 201.593087276 1.0[[ 0.10854868]][[ 0.99998873]][[ 0.99999833]][[ 0.91999917]][[ 0.00042568]][[ 0.99997746]]
128 74.0 0.0233747260774 124.85900152 1.0[[ 0.11630215]][[ 0.99998921]][[ 0.99999821]][[ 0.90963766]][[ 0.00045609]][[ 0.99997842]]
90 56.0 0.0286989795918 140.479205085 1.03703703704[[ 0.12405563]][[ 0.99999195]][[ 0.99999809]][[ 0.86554526]][[ 0.00048649]][[ 0.9999839]]
